MainIsland,Region,Province,Municipality,TypeOfWork,FundingYear,ApprovedBudgetForContract,ContractCost,StartDate,ActualCompletionDate,ProjectDuration,FinishedOnTime,ProjectName
Visayas,Region VII,Cebu,MOALBOAL (CEBU),Construction of Flood Mitigation Structure,2024,57895284.24,57894463.74,2024-03-12,2024-09-24,196,1,"Construction of Revetment Wall at Sitio Kanduong - Sitio Lawaan, Barangay Bala, Moalboal, Cebu"
Luzon,National Capital Region,Metro Manila,CITY OF MARIKINA (METROPOLITAN MANILA),Rehabilitation / Major Repair of Drainage Structure,2023,29397904.21,27933956.18,2023-05-04,2024-01-03,244,0,"Repair/Rehabilitation of Drainage in Provident Villages in Brgy. Tañong and Jesus Dela Peña, Marikina City"
Visayas,Region VII,Cebu,CONSOLACION (CEBU),Construction of Flood Mitigation Structure,2023,49000000.0,48989000.0,2023-04-18,2023-09-25,160,1,"Construction of Flood Control Structure along Cansaga River,Barangay Garing, Consolacion, Cebu"
Luzon,Region II,Cagayan,GATTARAN (CAGAYAN),Rehabilitation / Major Repair of Flood Control Structure,2023,72375000.0,72353000.0,2023-06-08,2024-04-22,319,0,"Rehabilitation of Flood Control Structure, Baraccaoit, Gattaran, Cagayan Package III - Sta. 0+777 - Sta. 1+253"
Luzon,Region III,Pampanga,MABALACAT CITY (PAMPANGA),Construction of Slope Protection Structure,2024,96483457.97,96464724.6,2024-03-14,2024-09-11,181,1,"Construction of Reinforced Concrete Slope Protection Structure (Leftside) along Quitangil Creek, Barangay Sapangbiabas, Mabalacat City, Pampanga"
Luzon,Region II,Isabela,CITY OF CAUAYAN (ISABELA),Construction of Flood Mitigation Structure,2023,48916000.0,48914436.85,2023-09-04,2024-08-17,348,0,"Construction of Turayong Drainage System Project, Cauayan City, Isabela"
Mindanao,Region IX,Zamboanga del Sur,TAMBULIG (ZAMBOANGA DEL SUR),Construction of Flood Mitigation Structure,2024,29400000.0,29374937.82,2024-02-19,2024-09-05,199,1,"Construction of Flood Control Structure, Mapangi River Basin, Tambulig, Zamboanga Del Sur"
Luzon,Region III,Tarlac,CAMILING (TARLAC),Construction of Flood Mitigation Structure,2023,49000000.0,48140980.09,2023-01-30,2023-06-15,136,1,"Construction of Slope Protection with Steel Sheet Pile Foundation along Camiling River, Left Bank, Anoling 1st to Pao 1st Section (Package B), Camiling, Tarlac"
Mindanao,Region X,Bukidnon,CABANGLASAN (BUKIDNON),Construction of Flood Mitigation Structure,2024,96500000.0,96500000.0,2024-01-31,2025-05-09,464,0,"Construction of Flood Mitigation Structure, barangay Paradise (Phase 2), Cabanglasan, Bukidnon"
Visayas,Region VII,Cebu,MANDAUE CITY (CEBU),Construction of Flood Mitigation Structure,2024,24257940.0,24205775.0,2024-07-04,2025-02-24,235,1,"Construction of Drainage System, Barangay Casuntingan, Mandaue City, Cebu"
